,pr_auc,roc_auc,f1,recall,accuracy,tp,fp,tn,fn,Geo-Mean,Δ PR-AUC (%)
XGBoost Base,0.5458691220800764,0.7687486564820819,0.5306539509536785,0.5870384325546345,0.7703333333333333,779.0,830.0,3843.0,548.0,0.5382077724591205,0.0
Optuna (266 Trials),0.5541161733504283,0.7772055020818178,0.5450052947405577,0.5817633760361718,0.7851666666666667,772.0,734.0,3939.0,555.0,0.5495418531625778,1.510811096792919
Optuna (333 Trials),0.5541161733504283,0.7772055020818178,0.5450052947405577,0.5817633760361718,0.7851666666666667,772.0,734.0,3939.0,555.0,0.5495418531625778,1.510811096792919
